Id,Game,Developer,Publisher,Release date,Sales,Platform
NULL,Super Mario World,Nintendo EAD,Nintendo,1990-11-21,20610000,Nintendo Entertainment System (NES)
NULL,Super Mario All-Stars,Nintendo EAD,Nintendo,1993-07-14,10550000,Nintendo Entertainment System (NES)
NULL,Donkey Kong Country,Rare,Nintendo,1994-11-21,9300000,Nintendo Entertainment System (NES)
NULL,Super Mario Kart,Nintendo EAD,Nintendo,1992-08-27,8760000,Nintendo Entertainment System (NES)
NULL,Street Fighter II: The World Warrior,Capcom,Capcom,1992-06-10,6300000,Nintendo Entertainment System (NES)
NULL,Donkey Kong Country 2: Diddy's Kong Quest,Rare,Nintendo,1995-11-20,5150000,Nintendo Entertainment System (NES)
NULL,The Legend of Zelda: A Link to the Past,Nintendo EAD,Nintendo,1991-11-21,4610000,Nintendo Entertainment System (NES)
NULL,Super Mario World 2:Yoshi's Island,Nintendo EAD,Nintendo,1995-08-05,4120000,Nintendo Entertainment System (NES)
NULL,Street Fighter II: Hyper Fighting,Capcom,Capcom,1993-07-11,4100000,Nintendo Entertainment System (NES)
NULL,Star Fox,Nintendo EAD and Argonaut Software,Nintendo,1993-02-21,4000000,Nintendo Entertainment System (NES)
NULL,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Rare,Nintendo,1996-11-22,3510000,Nintendo Entertainment System (NES)
NULL,Final Fantasy VI,Square,Square,1994-04-02,3420000,Nintendo Entertainment System (NES)
NULL,Killer Instinct,Rare,Nintendo,1995-08-30,3200000,Nintendo Entertainment System (NES)
NULL,Dragon Quest VI,Heartbeat,Enix,1995-12-09,3200000,Nintendo Entertainment System (NES)
NULL,F-Zero,Nintendo EAD,Nintendo,1990-11-21,2850000,Nintendo Entertainment System (NES)
NULL,Dragon Quest V,Chunsoft,Enix,1992-09-27,2800000,Nintendo Entertainment System (NES)
NULL,Final Fantasy V,Square,Square,1992-12-06,2450000,Nintendo Entertainment System (NES)
NULL,Mario Paint,Nintendo R&D1,Nintendo,1992-07-14,2310000,Nintendo Entertainment System (NES)
NULL,Super Mario RPG,Square,Nintendo,1996-03-09,2140000,Nintendo Entertainment System (NES)
NULL,Chrono Trigger,Square,Square,1995-03-11,2030000,Nintendo Entertainment System (NES)
NULL,Pilotwings,Nintendo EAD,Nintendo,1990-12-21,2000000,Nintendo Entertainment System (NES)
NULL,Super Street Fighter II,Capcom,Capcom,1994-06-25,2000000,Nintendo Entertainment System (NES)
NULL,SimCity,Nintendo EAD,Nintendo,1991-04-26,1980000,Nintendo Entertainment System (NES)
NULL,Secret of Mana,Square,Square,1993-08-06,1830000,Nintendo Entertainment System (NES)
NULL,Final Fantasy IV,Square,Square,1991-07-19,1800000,Nintendo Entertainment System (NES)
NULL,Disney's Aladdin,Capcom,Capcom,1993-11-26,1750000,Nintendo Entertainment System (NES)
NULL,Super Puyo Puyo,Compile,Banpresto,1993-12-10,1700000,Nintendo Entertainment System (NES)
NULL,Super Scope 6,Nintendo R&D1,Nintendo,1992-02-01,1650000,Nintendo Entertainment System (NES)
NULL,Mortal Kombat II,Sculptured Software,Acclaim Entertainment,1994-09-09,1510000,Nintendo Entertainment System (NES)
NULL,Romancing SaGa 2,Square,Square,1993-12-10,1490000,Nintendo Entertainment System (NES)
NULL,Final Fight,Capcom,Capcom,1990-12-21,1480000,Nintendo Entertainment System (NES)
NULL,Dragon Ball Z: Super Butōden,Tose,Bandai,1993-03-20,1450000,Nintendo Entertainment System (NES)
NULL,Kirby Super Star,HAL Laboratory,Nintendo,1996-03-21,1440000,Nintendo Entertainment System (NES)
NULL,Super Metroid,Nintendo R&D1 and Intelligent Systems,Nintendo,1994-03-19,1420000,Nintendo Entertainment System (NES)
NULL,Dragon Quest III,Heartbeat,Enix,1996-12-06,1400000,Nintendo Entertainment System (NES)
NULL,Romancing SaGa,Square,Square,1992-01-28,1320000,Nintendo Entertainment System (NES)
NULL,Wonder Project J,Almanic Corporation,Enix,1994-12-09,1300000,Nintendo Entertainment System (NES)
NULL,Romancing SaGa 3,Square,Square,1995-11-11,1300000,Nintendo Entertainment System (NES)
NULL,The Lion King,Westwood Studios,Virgin Interactive,1994-12-08,1270000,Nintendo Entertainment System (NES)
NULL,NBA Jam,Iguana Entertainment,Acclaim Entertainment,1994-03-04,1220000,Nintendo Entertainment System (NES)
NULL,Mortal Kombat 3,Sculptured Software,Acclaim Entertainment,1995-10-13,1220000,Nintendo Entertainment System (NES)
NULL,The Magical Quest Starring Mickey Mouse,Capcom,Capcom,1992-11-20,1210000,Nintendo Entertainment System (NES)
NULL,Dragon Quest I & II,Chunsoft,Enix,1993-12-18,1200000,Nintendo Entertainment System (NES)
NULL,Derby StallionIII,ASCII Entertainment,Nintendo,1995-01-20,1200000,Nintendo Entertainment System (NES)
NULL,Mega Man X,Capcom,Capcom,1993-12-17,1160000,Nintendo Entertainment System (NES)
NULL,Dragon Ball Z: Super Butōden 2,Tose,Bandai,1993-12-17,1150000,Nintendo Entertainment System (NES)
NULL,Derby Stallion'96,ASCII Entertainment,Nintendo,1996-03-15,1100000,Nintendo Entertainment System (NES)
NULL,Super Ghouls 'n Ghosts,Capcom,Capcom,1991-10-04,1090000,Nintendo Entertainment System (NES)
NULL,Final Fight 2,Capcom,Capcom,1993-05-22,1030000,Nintendo Entertainment System (NES)
NULL,Super Mario 64,Nintendo EAD,Nintendo,1996-06-23,11910000,Nintendo 64
NULL,Mario Kart 64,Nintendo EAD,Nintendo,1996-12-14,9870000,Nintendo 64
NULL,GoldenEye 007,Rare,Nintendo,1997-08-25,8090000,Nintendo 64
NULL,The Legend of Zelda: Ocarina of Time,Nintendo EAD,Nintendo,1998-11-21,7600000,Nintendo 64
NULL,Super Smash Bros.,HAL Laboratory,Nintendo,1999-01-21,5550000,Nintendo 64
NULL,Pokémon Stadium,Nintendo EAD,Nintendo,1999-04-30,5460000,Nintendo 64
NULL,Donkey Kong 64,Rare,Nintendo,1999-11-22,5270000,Nintendo 64
NULL,Diddy Kong Racing,Rare,Rare,1997-11-14,4880000,Nintendo 64
NULL,Star Fox 64,Nintendo EAD,Nintendo,1997-04-27,4000000,Nintendo 64
NULL,Banjo-Kazooie,Rare,Nintendo,1998-06-29,3650000,Nintendo 64
NULL,Pokémon Snap,HAL Laboratory and Pax Softonica,Nintendo,1999-03-21,3630000,Nintendo 64
NULL,The Legend of Zelda: Majora's Mask,Nintendo EAD,Nintendo,2000-04-27,3360000,Nintendo 64
NULL,Star Wars Episode I: Racer,LucasArts,LucasArts,1999-04-30,3100000,Nintendo 64
NULL,Banjo-Tooie,Rare,Nintendo,2000-11-20,3000000,Nintendo 64
NULL,Wave Race 64,Nintendo EAD,Nintendo,1996-09-27,2940000,Nintendo 64
NULL,Yoshi's Story,Nintendo EAD,Nintendo,1997-12-21,2850000,Nintendo 64
NULL,Mario Party,Hudson Soft,Nintendo,1998-12-18,2700000,Nintendo 64
NULL,Star Wars: Shadows of the Empire,LucasArts,Nintendo,1996-12-03,2600000,Nintendo 64
NULL,Pokémon Stadium 2,Nintendo EAD,Nintendo,2000-12-14,2540000,Nintendo 64
NULL,Perfect Dark,Rare,Rare,2000-05-22,2520000,Nintendo 64
NULL,Mario Party 2,Hudson Soft,Nintendo,1999-12-17,2480000,Nintendo 64
NULL,Mario Tennis,Camelot Software Planning,Nintendo,2000-07-21,2320000,Nintendo 64
